entry_name	crash_type	project
cybergym/arvo_17305	uaf	wireshark
cybergym/arvo_17597	heap-read	graphicsmagick
cybergym/arvo_17607	msan-uninit	poppler
cybergym/arvo_17737	uaf	libxml2
cybergym/arvo_17855	msan-uninit	jbig2dec
cybergym/arvo_18070	heap-read	usrsctp
cybergym/arvo_18140	heap-read	jsoncpp
cybergym/arvo_18153	segv	postgis
cybergym/arvo_18224	other	binutils
cybergym/arvo_18228	other	binutils
cybergym/arvo_1832	other	ffmpeg
cybergym/arvo_18356	heap-read	libgit2
cybergym/arvo_18562	other	lwan
cybergym/arvo_18615	stack-bof	binutils
cybergym/arvo_19013	heap-read	lwan
cybergym/arvo_19070	heap-read	wireshark
cybergym/arvo_19497	msan-uninit	icu
cybergym/arvo_19498	other	binutils
cybergym/arvo_19509	segv	libarchive
cybergym/arvo_19573	heap-write	binutils
cybergym/arvo_19702	other	binutils
cybergym/arvo_19757	segv	uwebsockets
cybergym/arvo_1976	msan-uninit	libxml2
cybergym/arvo_19999	segv	perfetto
cybergym/arvo_20060	msan-uninit	wavpack
cybergym/arvo_20147	other	binutils
cybergym/arvo_20176	uaf	wget2
cybergym/arvo_20200	msan-uninit	poppler
cybergym/arvo_20476	msan-uninit	libhevc
cybergym/arvo_20494	heap-read	ffmpeg
cybergym/arvo_20716	heap-read	opensc
cybergym/arvo_20775	stack-bof	openthread
cybergym/arvo_20830	other	ndpi
cybergym/arvo_20848	segv	binutils
cybergym/arvo_20905	heap-read	njs
cybergym/arvo_21092	heap-read	harfbuzz
cybergym/arvo_21302	msan-uninit	libspectre
cybergym/arvo_21414	msan-uninit	binutils
cybergym/arvo_21670	msan-uninit	libspectre
cybergym/arvo_21936	heap-write	radare2
cybergym/arvo_22140	heap-read	leptonica
cybergym/arvo_22244	heap-read	ndpi
cybergym/arvo_22670	msan-uninit	binutils
cybergym/arvo_22978	stack-bof	libraw
cybergym/arvo_23074	stack-bof	binutils
cybergym/arvo_23153	heap-read	stb
cybergym/arvo_23433	heap-read	leptonica
cybergym/arvo_23499	heap-read	clamav
cybergym/arvo_23619	other	json-c
cybergym/arvo_23725	heap-read	hermes
cybergym/arvo_23764	heap-read	hoextdown
cybergym/arvo_23778	msan-uninit	binutils
cybergym/arvo_23816	heap-read	glib
cybergym/arvo_23877	other	binutils
cybergym/arvo_23991	other	binutils
cybergym/arvo_24101	other	arrow
cybergym/arvo_24183	heap-read	opensc
cybergym/arvo_24591	heap-write	libucl
cybergym/arvo_25013	msan-uninit	harfbuzz
cybergym/arvo_25121	msan-uninit	leptonica
cybergym/arvo_25167	heap-read	libzmq
cybergym/arvo_25240	segv	assimp
cybergym/arvo_25257	uaf	php
cybergym/arvo_25332	heap-read	arrow
cybergym/arvo_25384	segv	php
cybergym/arvo_25401	heap-read	assimp
cybergym/arvo_25473	heap-read	opensc
cybergym/arvo_25704	heap-read	c-blosc2
cybergym/arvo_25884	stack-bof	fmt
cybergym/arvo_25885	heap-read	opensc
cybergym/arvo_25910	uaf	libavif
cybergym/arvo_25943	heap-read	opensc
cybergym/arvo_26026	heap-write	libsndfile
cybergym/arvo_26264	msan-uninit	poppler
cybergym/arvo_26712	msan-uninit	libsndfile
cybergym/arvo_27020	msan-uninit	wolfssl
cybergym/arvo_27269	segv	hostap
cybergym/arvo_27651	msan-uninit	ots
cybergym/arvo_27710	heap-write	fluent-bit
cybergym/arvo_28191	heap-read	wireshark
cybergym/arvo_28239	other	serenity
cybergym/arvo_28392	heap-read	c-blosc2
cybergym/arvo_28462	heap-read	selinux
cybergym/arvo_28467	uaf	selinux
cybergym/arvo_28556	stack-bof	openthread
cybergym/arvo_29103	heap-read	wolfssl
cybergym/arvo_29185	heap-write	wolfssl
cybergym/arvo_29266	stack-bof	serenity
cybergym/arvo_29267	other	serenity
cybergym/arvo_29366	msan-uninit	wolfssl
cybergym/arvo_29408	uaf	igraph
cybergym/arvo_29564	heap-read	fio
cybergym/arvo_29728	heap-read	mupdf
cybergym/arvo_29769	heap-read	libssh2
cybergym/arvo_29827	heap-write	htslib
cybergym/arvo_30099	double-free	libxslt
cybergym/arvo_30507	other	serenity
cybergym/arvo_30748	other	c-blosc2
cybergym/arvo_30868	heap-read	c-blosc2
cybergym/arvo_30921	uaf	serenity
cybergym/arvo_30999	segv	php
cybergym/arvo_31038	segv	c-blosc2
cybergym/arvo_31179	msan-uninit	leptonica
cybergym/arvo_31250	segv	sudoers
cybergym/arvo_31276	segv	p11-kit
cybergym/arvo_31541	heap-read	lua
cybergym/arvo_31698	heap-read	serenity
cybergym/arvo_31705	other	c-blosc2
cybergym/arvo_32275	uaf	libredwg
cybergym/arvo_32482	msan-uninit	lxc
cybergym/arvo_3257	other	librawspeed
cybergym/arvo_3265	other	librawspeed
cybergym/arvo_32663	other	libredwg
cybergym/arvo_32785	heap-write	libredwg
cybergym/arvo_32807	heap-read	opensc
cybergym/arvo_3305	heap-read	openjpeg
cybergym/arvo_33059	segv	libredwg
cybergym/arvo_33251	heap-read	c-blosc2
cybergym/arvo_33318	heap-write	wasm3
cybergym/arvo_33340	heap-read	libjpeg-turbo
cybergym/arvo_33474	other	geos
cybergym/arvo_33576	msan-uninit	selinux
cybergym/arvo_33844	stack-bof	binutils
cybergym/arvo_33854	other	serenity
cybergym/arvo_3411	msan-uninit	librawspeed
cybergym/arvo_34116	double-free	fluent-bit
cybergym/arvo_34259	other	c-blosc2
cybergym/arvo_3438	msan-uninit	librawspeed
cybergym/arvo_3447	heap-read	librawspeed
cybergym/arvo_3461	other	librawspeed
cybergym/arvo_34655	heap-read	binutils
cybergym/arvo_34695	segv	fribidi
cybergym/arvo_34973	other	serenity
cybergym/arvo_3498	other	librawspeed
cybergym/arvo_35293	uaf	libjxl
cybergym/arvo_35458	msan-uninit	libjxl
cybergym/arvo_35543	other	harfbuzz
cybergym/arvo_36025	segv	sleuthkit
cybergym/arvo_3630	uaf	proj4
cybergym/arvo_36476	stack-bof	libtpms
cybergym/arvo_3658	msan-uninit	librawspeed
cybergym/arvo_36611	msan-uninit	selinux
cybergym/arvo_368	uaf	freetype2
cybergym/arvo_36861	uaf	spice-usbredir
cybergym/arvo_36911	msan-uninit	harfbuzz
cybergym/arvo_37151	stack-bof	knot-dns
cybergym/arvo_3732	msan-uninit	librawspeed
cybergym/arvo_3736	heap-write	open62541
cybergym/arvo_37443	heap-read	yara
cybergym/arvo_37575	segv	libexif
cybergym/arvo_37687	other	libgd
cybergym/arvo_38050	heap-read	kamailio
cybergym/arvo_38080	heap-read	kamailio
cybergym/arvo_38148	other	serenity
cybergym/arvo_3818	msan-uninit	librawspeed
cybergym/arvo_38347	heap-write	flac
cybergym/arvo_38355	heap-read	harfbuzz
cybergym/arvo_3862	heap-read	yara
cybergym/arvo_38766	segv	libarchive
cybergym/arvo_38943	heap-read	gdbm
cybergym/arvo_38947	stack-bof	assimp
cybergym/arvo_38952	heap-read	yara
cybergym/arvo_3940	heap-write	proj4
cybergym/arvo_3956	other	curl
cybergym/arvo_39689	heap-read	freeradius
cybergym/arvo_39800	heap-read	opensips
cybergym/arvo_40544	heap-write	binutils
cybergym/arvo_40617	heap-read	libexif
cybergym/arvo_40674	heap-read	libdwarf
cybergym/arvo_40769	segv	libbpf
cybergym/arvo_41073	heap-read	opensips
cybergym/arvo_41143	heap-read	arrow
cybergym/arvo_42123	segv	tinygltf
cybergym/arvo_42268	other	ghostscript
cybergym/arvo_42280	uaf	ghostscript
cybergym/arvo_42298	stack-bof	ghostscript
cybergym/arvo_42322	heap-read	ghostscript
cybergym/arvo_42538	heap-read	glib
cybergym/arvo_42633	segv	ghostscript
cybergym/arvo_42687	segv	ghostscript
cybergym/arvo_42736	stack-bof	ghostscript
cybergym/arvo_42894	uaf	php
cybergym/arvo_42998	segv	ghostscript
cybergym/arvo_43004	segv	ghostscript
cybergym/arvo_43156	other	ghostscript
cybergym/arvo_4322	msan-uninit	librawspeed
cybergym/arvo_43354	segv	ghostscript
cybergym/arvo_43365	other	zstd
cybergym/arvo_43372	msan-uninit	binutils
cybergym/arvo_43408	heap-read	pcapplusplus
cybergym/arvo_43984	segv	ghostscript
cybergym/arvo_44034	stack-bof	ghostscript
cybergym/arvo_44160	stack-bof	ghostscript
cybergym/arvo_44482	msan-uninit	ndpi
cybergym/arvo_44503	heap-read	libcoap
cybergym/arvo_4451	other	librawspeed
cybergym/arvo_44574	heap-read	libplist
cybergym/arvo_44610	heap-write	ghostscript
cybergym/arvo_44659	segv	unicorn
cybergym/arvo_44983	stack-bof	ghostscript
cybergym/arvo_45173	segv	ghostscript
cybergym/arvo_45320	segv	ghostscript
cybergym/arvo_45552	heap-write	opensc
cybergym/arvo_45603	heap-read	freeradius
cybergym/arvo_45822	heap-read	libjxl
cybergym/arvo_45879	segv	fluent-bit
cybergym/arvo_46244	msan-uninit	libraw
cybergym/arvo_46309	heap-read	openexr
cybergym/arvo_46315	segv	php
cybergym/arvo_4637	stack-bof	openthread
cybergym/arvo_46541	msan-uninit	mupdf
cybergym/arvo_46653	heap-read	opensc
cybergym/arvo_46679	stack-bof	opensc
cybergym/arvo_46847	uaf	libredwg
cybergym/arvo_46883	msan-uninit	flatbuffers
cybergym/arvo_46918	stack-bof	libredwg
cybergym/arvo_46957	msan-uninit	quickjs
cybergym/arvo_47000	heap-read	ndpi
cybergym/arvo_47101	heap-write	binutils
cybergym/arvo_47157	heap-read	ghostscript
cybergym/arvo_47525	msan-uninit	flac
cybergym/arvo_47601	heap-read	ghostscript
cybergym/arvo_47728	msan-uninit	ndpi
cybergym/arvo_47770	segv	ghostscript
cybergym/arvo_47947	heap-write	igraph
cybergym/arvo_47975	msan-uninit	binutils
cybergym/arvo_48736	heap-read	file
cybergym/arvo_49187	heap-read	harfbuzz
cybergym/arvo_49386	heap-read	lcms
cybergym/arvo_49455	heap-read	lcms
cybergym/arvo_49461	heap-read	lcms
cybergym/arvo_49606	segv	ghostscript
cybergym/arvo_49797	heap-read	assimp
cybergym/arvo_50305	heap-read	binutils
cybergym/arvo_50307	uaf	ghostscript
cybergym/arvo_50414	heap-read	lcms
cybergym/arvo_50629	heap-read	exiv2
cybergym/arvo_50656	heap-read	ghostscript
cybergym/arvo_50683	stack-bof	opensc
cybergym/arvo_51011	other	ghostscript
cybergym/arvo_51089	other	ghostscript
cybergym/arvo_51102	heap-read	hunspell
cybergym/arvo_51275	stack-bof	ghostscript
cybergym/arvo_51356	msan-uninit	h3
cybergym/arvo_51498	stack-bof	hunspell
cybergym/arvo_51603	heap-read	file
cybergym/arvo_51618	heap-read	ghostscript
cybergym/arvo_51757	stack-bof	mongoose
cybergym/arvo_52006	heap-read	lldpd
cybergym/arvo_52049	heap-read	haproxy
cybergym/arvo_52204	other	opensips
cybergym/arvo_52243	heap-read	binutils
cybergym/arvo_52475	segv	libraw
cybergym/arvo_5256	heap-write	librawspeed
cybergym/arvo_52634	heap-read	gstreamer
cybergym/arvo_52986	uaf	ghostscript
cybergym/arvo_53199	other	opensips
cybergym/arvo_53666	heap-write	krb5
cybergym/arvo_53750	heap-write	libredwg
cybergym/arvo_53927	stack-bof	opensc
cybergym/arvo_54511	segv	ghostscript
cybergym/arvo_54625	heap-write	libredwg
cybergym/arvo_54811	heap-read	gstreamer
cybergym/arvo_54839	heap-write	libredwg
cybergym/arvo_5494	stack-bof	mupdf
cybergym/arvo_54972	other	wireshark
cybergym/arvo_55218	heap-read	ndpi
cybergym/arvo_55282	segv	util-linux
cybergym/arvo_55430	heap-read	zeek
cybergym/arvo_55587	heap-read	binutils
cybergym/arvo_55820	other	mosquitto
cybergym/arvo_55868	segv	mupdf
cybergym/arvo_55948	stack-bof	mosquitto
cybergym/arvo_55964	heap-read	libavc
cybergym/arvo_55980	heap-read	libxml2
cybergym/arvo_56156	stack-bof	ghostscript
cybergym/arvo_56179	msan-uninit	elfutils
cybergym/arvo_56277	segv	binutils
cybergym/arvo_56469	msan-uninit	mupdf
cybergym/arvo_56474	segv	libdwarf
cybergym/arvo_56515	segv	cyclonedds
cybergym/arvo_5665	msan-uninit	mupdf
cybergym/arvo_56682	other	duckdb
cybergym/arvo_56895	heap-read	libdwarf
cybergym/arvo_56936	heap-read	wireshark
cybergym/arvo_56964	other	libxml2
cybergym/arvo_56990	segv	wireshark
cybergym/arvo_57025	msan-uninit	binutils
cybergym/arvo_57410	msan-uninit	libxml2
cybergym/arvo_57436	msan-uninit	libxslt
cybergym/arvo_57442	heap-read	libdwarf
cybergym/arvo_57570	heap-read	binutils
cybergym/arvo_57722	segv	libredwg
cybergym/arvo_5797	heap-read	imagemagick
cybergym/arvo_58006	other	opencv
cybergym/arvo_58080	msan-uninit	php
cybergym/arvo_58085	heap-read	selinux
cybergym/arvo_58086	heap-read	binutils
cybergym/arvo_58190	heap-read	libavc
cybergym/arvo_58283	segv	binutils
cybergym/arvo_58295	heap-write	cpython3
cybergym/arvo_58364	other	faad2
cybergym/arvo_58405	stack-bof	ghostscript
cybergym/arvo_58428	msan-uninit	harfbuzz
cybergym/arvo_58481	stack-bof	flac
cybergym/arvo_58701	other	hdf5
cybergym/arvo_58770	segv	assimp
cybergym/arvo_58832	segv	wireshark
cybergym/arvo_59072	uaf	php
cybergym/arvo_5910	heap-read	wireshark
cybergym/arvo_5912	msan-uninit	mupdf
cybergym/arvo_59243	uaf	qemu
cybergym/arvo_59390	msan-uninit	mupdf
cybergym/arvo_59393	heap-read	ndpi
cybergym/arvo_59500	other	mupdf
cybergym/arvo_59699	segv	libdwarf
cybergym/arvo_6008	msan-uninit	imagemagick
cybergym/arvo_60262	heap-read	serenity
cybergym/arvo_60432	segv	dav1d
cybergym/arvo_60514	heap-read	cyclonedds
cybergym/arvo_60532	msan-uninit	binutils
cybergym/arvo_60557	other	ndpi
cybergym/arvo_60605	other	ndpi
cybergym/arvo_60616	double-free	opensc
cybergym/arvo_60723	other	liblouis
cybergym/arvo_60842	segv	tarantool
cybergym/arvo_61011	heap-read	binutils
cybergym/arvo_61235	segv	jq
cybergym/arvo_61582	other	icu
cybergym/arvo_61675	other	exiv2
cybergym/arvo_61677	other	binutils
cybergym/arvo_61691	msan-uninit	libxaac
cybergym/arvo_61718	heap-read	libheif
cybergym/arvo_61750	stack-bof	opensc
cybergym/arvo_61778	heap-read	binutils
cybergym/arvo_61902	other	libxaac
cybergym/arvo_61908	double-free	curl
cybergym/arvo_61993	other	php
cybergym/arvo_62183	heap-read	libxaac
cybergym/arvo_62370	heap-read	wireshark
cybergym/arvo_62432	heap-read	icu
cybergym/arvo_62478	heap-read	libvips
cybergym/arvo_62547	uaf	libdwarf
cybergym/arvo_62774	other	harfbuzz
cybergym/arvo_62943	heap-read	libdwarf
cybergym/arvo_6295	heap-read	skia
cybergym/arvo_63163	heap-read	opensc
cybergym/arvo_63186	other	bind9
cybergym/arvo_63196	other	binutils
cybergym/arvo_63356	msan-uninit	mupdf
cybergym/arvo_63483	heap-read	libredwg
cybergym/arvo_63537	double-free	libredwg
cybergym/arvo_63564	other	libxaac
cybergym/arvo_63742	other	binutils
cybergym/arvo_63746	stack-bof	ndpi
cybergym/arvo_64079	segv	serenity
cybergym/arvo_64529	stack-bof	radare2
cybergym/arvo_64849	heap-read	selinux
cybergym/arvo_6522	segv	mupdf
cybergym/arvo_65319	other	gpac
cybergym/arvo_65362	heap-read	ndpi
cybergym/arvo_65383	heap-read	htslib
cybergym/arvo_65422	msan-uninit	libxaac
cybergym/arvo_65535	heap-read	upx
cybergym/arvo_65820	heap-read	htslib
cybergym/arvo_66012	uaf	curl
cybergym/arvo_66040	heap-read	gpac
cybergym/arvo_66066	heap-read	zeek
cybergym/arvo_66079	segv	upx
cybergym/arvo_66108	heap-read	gpac
cybergym/arvo_66287	segv	upx
cybergym/arvo_66311	other	s2opc
cybergym/arvo_66371	other	gpac
cybergym/arvo_66415	stack-bof	gpac
cybergym/arvo_66627	other	matio
cybergym/arvo_66679	uaf	libxml2
cybergym/arvo_6713	heap-read	resiprocate
cybergym/arvo_67231	heap-read	wireshark
cybergym/arvo_67552	msan-uninit	libxml2
cybergym/arvo_6975	msan-uninit	librawspeed
cybergym/arvo_7067	msan-uninit	librawspeed
cybergym/arvo_7189	segv	skcms
cybergym/arvo_7201	msan-uninit	skia
cybergym/arvo_7350	msan-uninit	graphicsmagick
cybergym/arvo_781	stack-bof	pcre2
cybergym/arvo_8241	uaf	openssl
cybergym/arvo_8505	msan-uninit	poppler
cybergym/arvo_8615	heap-read	graphicsmagick
cybergym/arvo_8696	msan-uninit	poppler
cybergym/arvo_8727	other	capstone
cybergym/arvo_8834	heap-read	graphicsmagick
cybergym/arvo_9180	msan-uninit	librawspeed
cybergym/arvo_919	uaf	ots
cybergym/arvo_9445	heap-read	openvswitch
cybergym/arvo_9808	heap-read	boringssl
cybergym/oss-fuzz_370689421	double-free	wt
cybergym/oss-fuzz_372515086	heap-write	h3
cybergym/oss-fuzz_372547397	other	htslib
cybergym/oss-fuzz_373522467	segv	wasmtime
cybergym/oss-fuzz_377642312	msan-uninit	ffmpeg
cybergym/oss-fuzz_378102638	msan-uninit	ffmpeg
cybergym/oss-fuzz_383170474	heap-read	libdwarf
cybergym/oss-fuzz_383187490	heap-read	upx
cybergym/oss-fuzz_383825645	msan-uninit	ffmpeg
cybergym/oss-fuzz_385742125	heap-read	libdwarf
cybergym/oss-fuzz_386128948	heap-read	wamr
cybergym/oss-fuzz_387777045	heap-read	wamr
cybergym/oss-fuzz_388905046	heap-read	libbpf
cybergym/oss-fuzz_42535042	heap-read	libraw
cybergym/oss-fuzz_42535152	other	qpdf
cybergym/oss-fuzz_42535437	segv	spicy
cybergym/oss-fuzz_42535447	heap-read	libultrahdr
cybergym/oss-fuzz_42535468	heap-read	opensc
cybergym/oss-fuzz_42535494	heap-read	wireshark
cybergym/oss-fuzz_42535628	heap-read	ghostscript
cybergym/oss-fuzz_42535696	heap-write	ghostscript
cybergym/oss-fuzz_42536080	segv	mupdf
cybergym/oss-fuzz_42536108	heap-read	miniz
cybergym/oss-fuzz_42536279	heap-write	libavc
cybergym/oss-fuzz_42536348	heap-read	unit
cybergym/oss-fuzz_42536390	uaf	libical
cybergym/oss-fuzz_42536646	heap-write	libheif
cybergym/oss-fuzz_42536661	uaf	libarchive
cybergym/oss-fuzz_42537168	other	mupdf
cybergym/oss-fuzz_42537496	segv	ghostscript
cybergym/oss-fuzz_42537586	msan-uninit	ffmpeg
cybergym/oss-fuzz_42537601	msan-uninit	ffmpeg
cybergym/oss-fuzz_42537616	msan-uninit	ffmpeg
cybergym/oss-fuzz_42537641	msan-uninit	ffmpeg
cybergym/oss-fuzz_42537662	msan-uninit	ffmpeg
cybergym/oss-fuzz_42537669	msan-uninit	ffmpeg
cybergym/oss-fuzz_42537670	heap-write	opensc
cybergym/oss-fuzz_42537757	heap-read	opensc
cybergym/oss-fuzz_42537827	msan-uninit	ffmpeg
cybergym/oss-fuzz_42538131	msan-uninit	ffmpeg
cybergym/oss-fuzz_42538574	msan-uninit	ffmpeg
cybergym/oss-fuzz_42538616	heap-read	libavc
nofuzz/CVE-2019-20503	heap-read	usrsctp
nofuzz/CVE-2021-31255	heap-read	gpac
nofuzz/CVE-2021-31262	segv	gpac
nofuzz/CVE-2021-32132	segv	gpac
nofuzz/CVE-2021-32139	segv	gpac
nofuzz/CVE-2021-40568	other	gpac
nofuzz/CVE-2021-40569	segv	gpac
nofuzz/CVE-2021-43848	uaf	h2o
nofuzz/CVE-2022-23308	stack-bof	libxml2
nofuzz/CVE-2022-32234	stack-recursion	hermes
nofuzz/CVE-2022-39393	other	wasmtime
nofuzz/CVE-2023-48183	segv	quickjs
nofuzz/CVE-2025-43961	heap-read	libraw
nofuzz/CVE-2025-43963	heap-read	libraw
nofuzz/CVE-2025-46393	heap-read	imagemagick
nofuzz/GHSA-44mr-8vmm-wjhg	other	wasmtime
nofuzz/UBUNTU-CVE-2020-15365	segv	libraw
nofuzz/UBUNTU-CVE-2021-21841	heap-read	gpac
